MesZL	SL/HA	aBZL	HethZL		Sign Name	Unicode	Unicode Name	comment	has unicode	worthington	
592	377n1		248		:(division sign)	U+12471 𒑱	PUNCTUATION SIGN VERTICAL COLON	Glossenkeil	TRUE	FALSE	
164	099b2				"4×EN" (KUoverḪAR.KUoverḪAR)	U+121AB 𒆫	KU OVER HI TIMES ASH2 KU OVER HI TIMES ASH2		TRUE	FALSE	
811	536				"KU" = DIŠ+ŠU	U+12375 𒍵	DISH PLUS SHU	"60"; ligatur, see MesZL n748	TRUE	FALSE	
208	123n				"nìq"			see MesZL n208	FALSE	FALSE	
829	575bv1				"UR×A"			see MesZL 829	FALSE	FALSE	
829	575bv2				"UR×MIN"			see MesZL 829	FALSE	FALSE	
293	165a				4×AN.NAGA forming a cross	U+12031 𒀱	AN PLUS NAGA SQUARED		TRUE	FALSE	
164	099b1				4×ENsquared	U+1209D 𒂝	EN SQUARED		TRUE	FALSE	
641	399xx				4×IM forming a cross	U+12152 𒅒	IM SQUARED		TRUE	FALSE	
805	530				4×LAGAB forming a cross	U+121EB 𒇫	LAGAB SQUARED		TRUE	FALSE	
514	330_60n2				4×LÚ forming a cross	U+12214 𒈔	LU2 SQUARED		TRUE	FALSE	
209	127	109	90		4×TAB forming a cross	U+122F2 𒋲	TAB SQUARED	see MesZL n503	TRUE	FALSE	
277	152_4v				4×UBARA forming a cross	U+120AD 𒂭	EZEN TIMES KASKAL SQUARED		TRUE	FALSE	
716	477				7×U	U+12412 𒐒	NUMERIC SIGN SEVEN U	"70"	TRUE	FALSE	
717	478				8×U	U+12413 𒐓	NUMERIC SIGN EIGHT U	"80"	TRUE	FALSE	
718	479				9×U	U+12414 𒐔	NUMERIC SIGN NINE U	"90"	TRUE	FALSE	
839	579	470	364; 365		A	U+12000 𒀀	A		TRUE	TRUE	
560	334	230	215		Á	U+12009 𒀉	A2		TRUE	FALSE	
839	579n				A.TU.GAB.LIŠ	U+12037 𒀷	ASAL2	forerunner ASALx, not ASAL2. Cf Krebernik OBO 160/1 283	TRUE	FALSE	
635	397		332		A'	U+1202A 𒀪	ALEPH	late variant of n636	TRUE	FALSE	
843	582				A×DU6	U+12006 𒀆	A TIMES LAGAR GUNU		TRUE	FALSE	
844	581				A×IGI	U+12005 𒀅	A TIMES IGI		TRUE	FALSE	
842	580a				A×MUŠ	U+12007 𒀇	A TIMES MUSH		TRUE	FALSE	
841	585				A×SAG	U+12008 𒀈	A TIMES SAG		TRUE	FALSE	
223	128	125	97		AB	U+1200A 𒀊	AB		TRUE	TRUE	
672	420	352	277		ÁB	U+12016 𒀖	AB2		TRUE	FALSE	
680	426a		284		ÁB×A	U+12371 𒍱	AB2 TIMES A	Hitt.	TRUE	FALSE	
231	200bn				AB×AŠ				FALSE	FALSE	
227	200an	127			AB×ÁŠ	U+1200B 𒀋	AB TIMES ASH2	reconstruction	TRUE	FALSE	
235	199				AB×GÍN	U+1200C 𒀌	AB TIMES DUN3 GUNU		TRUE	FALSE	
237	200d				AB×IMIN	U+12011 𒀑	AB TIMES IMIN		TRUE	FALSE	
225	198				AB×KÁR	U+1200E 𒀎	AB TIMES GAN2 TENU		TRUE	FALSE	
674	423	354			ÁB×KÁR	U+12018 𒀘	AB2 TIMES GAN2 TENU		TRUE	FALSE	
233	197				AB×KI				FALSE	FALSE	
673	420_8				ÁB×KÍD	U+1201B 𒀛	AB2 TIMES TAK4		TRUE	FALSE	
234	198a				AB×LAGAB	U+12012 𒀒	AB TIMES LAGAB		TRUE	FALSE	
224	128xv				AB×NUN				FALSE	FALSE	
226	200c				AB×ŠEŠ	U+12013 𒀓	AB TIMES SHESH		TRUE	FALSE	
229	196				AB×SIG7	U+12010 𒀐	AB TIMES IGI GUNU		TRUE	FALSE	
231	128xxxx				AB×U				FALSE	FALSE	
258	145	132	105		AD	U+1201C 𒀜	AD		TRUE	TRUE	
814	537_65c; 537x				ÀD (LU×BAD)	U+121FC 𒇼	LU TIMES BAD		TRUE	FALSE	
854	379_2	245			AD4 (ZA-tenû)	U+1235E 𒍞	ZA TENU		TRUE	FALSE	
127	97	52	81		AG	U+1201D 𒀝	AK		TRUE	TRUE	
326	183	136	121		ÁG (NÍNDA×NE)	U+12258 𒉘	NINDA2 TIMES NE		TRUE	TRUE	"ram"
128	097a				AG×ŠÍTA	U+1201F 𒀟	AK TIMES SHITA PLUS GISH		TRUE	TRUE	"ME"
840	580				AGAM (A×BAD)	U+12002 𒀂	A TIMES BAD		TRUE	FALSE	
727	452v1	237	291		AGRIG (IGI.DUB)	U+12146 𒅆 & U+1207E 𒁾	IGI & DUB		TRUE	FALSE	
636	398	280	332		AḪ (ḪI×NUN)	U+12134 𒄴	HI TIMES NUN		TRUE	FALSE	
637	398+166				AḪ.KASKAL	U+12134 𒄴 & U+1219C 𒆜	HI TIMES NUN & KASKAL		TRUE	FALSE	
638	398_64	282			AḪ.ME	U+12134 𒄴 & U+12228 𒈨	HI TIMES NUN & ME		TRUE	FALSE	
639	398_72				AḪ.ME.U	U+12134 𒄴 & U+12228 𒈨 & U+1230B 𒌋	HI TIMES NUN & ME & U		TRUE	FALSE	
159	092a	300			AKKIL (GAD.KÍD.SI)	U+120F0 𒃰 & U+122FA 𒋺 & U+122DB 𒋛	GAD & TAK4 & SI		TRUE	FALSE	
474	298	108	183		AL	U+12020 𒀠	AL		TRUE	TRUE	
478	301n				AL×AL	U+12021 𒀡	AL TIMES AL		TRUE	FALSE	
480	302				AL×GIM	U+12022 𒀢	AL TIMES DIM2		TRUE	FALSE	
477	301				AL×GIŠ	U+12023 𒀣	AL TIMES GISH		TRUE	FALSE	
482	305				AL×ḪA	U+12024 𒀤	AL TIMES HA		TRUE	FALSE	
475	299n				AL×KÀD	U+12025 𒀥	AL TIMES KAD3	see MesZL n475	TRUE	FALSE	
481	303				AL×KI	U+12026 𒀦	AL TIMES KI		TRUE	FALSE	
475	299				AL×KÍD			see MesZL n475	FALSE	FALSE	
479	304				AL×ŠE	U+12027 𒀧	AL TIMES SHE		TRUE	FALSE	
476	300				AL×UŠ	U+12028 𒀨	AL TIMES USH		TRUE	FALSE	
