name	sign	syllabic	PREFIX	POSTFIX	meszl	unicode	compound	sumerogram1	sumerogram2	sumerogram3	sumerogram4	sumerogram5	sumerogram6	sumerogram7	sumerogram8	sumerogram9	sumerogram10	sumerogram11	sumerogram12	sumerogram13	sumerogram14																											
ZU	𒍪	zu			015	U+1236A	False	KA14	KI6	SU2	ṢU2																																					
ZIG	𒍨	zik, ziq			336	U+12368	False	NINDA2 x EŠ	ḪAS3	ḪAŚ3	ḪAŠ2	ḪEŠ2	ḪIŠ2	ṢIB2	ṢIP2	ZIK	ZIQ	ZIQI																														
ZI	𒍣	zi,ze,si,se,zi,ze			140	U+12363	False	GE25																																								
ZA	𒍝	za,ṣa			851	U+1235D	False	SA3	ṢA	ZAGGA2																																						
UZ	𒊻	us, uz, uṣ			583	U+122BB	False	ŠE.ḪU	US	UṢ	UŠ10	UZU3																																				
UŠ	𒍑	uš			381	U+12351	False	60	GEŠ3	NINTAḪ	NIṬ	UNU8	US2	USU2	UṢ2	UŚ	UZ2																															
UR	𒌨	ur, lig, lik, liq			828	U+12328	False	A8	TIS2	TIṢ2	TIŠ2	TIZ2	URU13																																			
UR2	𒌫	úr			341	U+1232B	False	URU8																																								
ŠAR2	𒄱	up, ub			659	U+12131	False																																									
UN	𒌦	un			501	U+12326	False	U12	UG3	UKU3	UNU4																																					
UM	𒌝	um			238	U+1231D	False	DEḪ2	DEḪI2	DIḪ2	TEḪI	U16	UMU																																			
UL	𒌌	ul			698	U+1230C	False	U.GUD	DU7	MUL4	RU5	ULA																																				
UG	𒊌	uk, ug, uq			296	U+1228C	False	PIRIG x UD	PIRIG3	U21	UK	UKU4	UQ																																			
UḪ2	𒌔	uḫ			611	U+12314	False	UD.KUŠU2	A12.KUŠU2	AḪ6	AKŠAK	UḪU2																																				
UD	𒌓	ud, ut, uṭ, pir			596	U+12313	False	A12	ADAN	UT	UTA	UTU	UṬ	ZALAG	ZALAGA																																	
UB	𒌒	ub, up, ar			504	U+12312	False	AR2	ARA2	UBU2	UP																																					
U	𒌋	u			661	U+1230B	False	10/60	10/3600	10	A6	BU12	BUR3	BURU3	BUZUR	GE14	GIBURU	GIBURUM	PUZUR	ŠIL3	ŠU4	ŠUŠ	UMUN	UN2	USUR5	UŠUR5																						
TUR	𒌉	tur			255	U+12309	False	BAN3	BANDA3	ṬUR3																																						
TUM	𒌈	tum			354	U+12308	False	DAM3	TU4	ṬU4	ṬUM																																					
TUK	𒌇	tug, tuk, tuq			827	U+12307	False	DU12	DUG2	DUK2	DUQ2	RAŠ2	TU12	TUG	TUKU	TUQ																																
GIN2	𒂅	ṭu			836	U+12085	False	AGA3	DU5	DUG5	DUN3	GE11																																				
TU	𒌅	tu			086	U+12305	False	DU2	DUR11	PI10	TUD	TUM12	TUR5	ṬU2																																		
